,BID NO,items,Quantity Required,Department Name And Address,Start Date,End Date
0,GEM/2020/RA/32535,Desktop Computers,30,"Ministry Of Labour And Employment
Na
Regional Office,epfo, Madurai Employees Provident Fund Organisation (epfo)",07-02-2020 01:07 PM,10-02-2020 01:30 PM
1,GEM/2020/B/525131,Hopper Tipper Dumper,1,"Uttar Pradesh
Urban Development Department Uttar Pradesh
Utterpradesh E-municipalities - Eservices To Citizens And Employees Of Urban Local Bodies Of Uttar Pradesh",30-01-2020 01:07 PM,10-02-2020 02:00 PM
2,GEM/2020/B/498796,Laptop-Notebook,8,"Ministry Of Petroleum And Natural Gas
Indian Oil Corporation Limited
Faridabad Research & Development Centre (materials Department)",13-01-2020 12:53 PM,10-02-2020 02:00 PM
3,GEM/2020/B/525133,Online UPS,1,"Ministry Of Consumer Affairs Food And Public Distribution
Department Of Food And Public Distribution
Regional Office Kerala Trivandrum Food Corporation Of India (fci)",30-01-2020 01:58 PM,10-02-2020 02:00 PM
4,GEM/2020/B/526075,Multifunction Machines MFM,1,"Ministry Of Defence
Department Of Defence Reseach & Development
Bangalore/south Aeronautical Development Agency",30-01-2020 05:17 PM,10-02-2020 02:00 PM
5,GEM/2020/RA/32940,Pedestal Fan,35,"Ministry Of Home Affairs
Central Armed Police Forces
Dte. Genl. Central Reserve Police Force (crpf)",08-02-2020 02:13 PM,10-02-2020 02:00 PM
6,GEM/2020/B/525136,Paper Shredding Machines,15,"Ministry Of Home Affairs
Department Of Internal Security
North-zone N/a",30-01-2020 01:13 PM,10-02-2020 02:00 PM
7,GEM/2020/B/511603,Heated Display Cases-hot Case,1,"Ministry Of Heavy Industries And Public Enterprises
Department Of Heavy Industry
Natrip Implementation Society N/a",21-01-2020 01:29 PM,10-02-2020 02:00 PM
8,GEM/2020/B/525140,Naphthalene Balls,250,"Ministry Of Defence
Department Of Defence
Station Headquarters Gopalpur Indian Army",30-01-2020 01:08 PM,10-02-2020 02:00 PM
9,GEM/2020/B/525141,"Package No. 1 - ATAL TINKERING LAB OF NITI AAYOG ELECTRONICS DEVELOPMENT, ROBOTICS, INTERNET OF THI",1,"Niti Aayog - National Institution For Transforming India
Atal Innovation Mission
India Atal Tinkering Lab",30-01-2020 01:14 PM,10-02-2020 02:00 PM
10,GEM/2020/B/509542,Multifunction Machines MFM,7,"Ministry Of Finance
Department Of Revenue
Principal Commissioner, Central Tax, Bangalore West Commissionerate Central Board Of Excise And Customs (cbec)",20-01-2020 03:11 PM,10-02-2020 02:00 PM
11,GEM/2020/RA/33195,Wireless Network Interface Cards Usb Data Card/ Router/ Dongle,631,"Uttar Pradesh
Revenue Department Uttar Pradesh
Bijnor Board Of Revenue Government Of Uttar Pradesh",30-01-2020 01:31 PM,10-02-2020 02:00 PM
12,GEM/2020/B/525148,Revolving Chair,10,"Ministry Of Home Affairs
Central Armed Police Forces
Shq Bsf Bhopal Tactical Hq Koraput Border Security Force (bsf)",30-01-2020 01:16 PM,10-02-2020 02:00 PM
13,GEM/2020/B/525151,Desktop Computers,13,"Ministry Of Railways
Na
South Eastern Railway N/a",30-01-2020 01:19 PM,10-02-2020 02:00 PM
14,GEM/2020/B/525152,Hot And Cold Air Conditioners,1,"Jammu & Kashmir
Health And Family Welfare Department Jammu And Kashmir
Bmo Office Dh Pora N/a",30-01-2020 01:12 PM,10-02-2020 02:00 PM
15,GEM/2020/B/511849,Scanners,4,"Ministry Of Railways
Na
800001 N/a",21-01-2020 06:15 PM,10-02-2020 02:00 PM
16,GEM/2020/B/525154,Power Cable For Direct Burial Xlpe Ugac Cable,1000,"Ministry Of Railways
Na
Southern Railway N/a",30-01-2020 01:15 PM,10-02-2020 02:00 PM
17,GEM/2020/B/523551,Hand Held Search Light,4,"Jammu & Kashmir
Health And Family Welfare Department Jammu And Kashmir
Bmo Office Qazigund Devsar N/a",29-01-2020 01:29 PM,10-02-2020 02:00 PM
18,GEM/2020/B/525159,Package No.2: ATAL TINKERING LAB OF NITI AAYOG RAPID PROTOTYPING TOOLS,1,"Niti Aayog - National Institution For Transforming India
Atal Innovation Mission
India Atal Tinkering Lab",30-01-2020 01:09 PM,10-02-2020 02:00 PM
19,GEM/2020/RA/33200,Automotive Vehicles Tubes For Pneumatic Tyres,64,"Ministry Of Defence
Department Of Defence
Jammu (akhnoor) Indian Army",30-01-2020 01:15 PM,10-02-2020 02:00 PM
20,GEM/2020/B/523555,Desktop Computers,1,"Uttar Pradesh
Medical Health And Family Welfare Department Uttar Pradesh
Divisional Hospital Mirzapur N/a",31-01-2020 09:38 AM,10-02-2020 02:00 PM
21,GEM/2020/B/519424,Workstation,1,"Ministry Of Environment Forest And Climate Change
Na
Almora Govind Ballabh Pant (g.b. Pant) Institute Of Himalayan Environment And Development (gbpihed)",27-01-2020 10:01 AM,10-02-2020 02:00 PM
22,GEM/2020/B/524948,Laser Speed Meter,3,"Gujarat
Ports And Transport Department Gujarat
Gandhinagar 382010 Commissionerate Of Transport",30-01-2020 01:08 PM,10-02-2020 02:00 PM
23,GEM/2020/B/525169,"Package No. 1 - ATAL TINKERING LAB OF NITI AAYOG ELECTRONICS DEVELOPMENT, ROBOTICS, INTERNET OF THI",1,"Niti Aayog - National Institution For Transforming India
Atal Innovation Mission
India Atal Tinkering Lab",30-01-2020 01:12 PM,10-02-2020 02:00 PM
24,GEM/2020/B/525171,Hot And Cold Air Conditioners,4,"Uttarakhand
Public Works Department Uttarakhand
Dehradun N/a",30-01-2020 01:14 PM,10-02-2020 02:00 PM
25,GEM/2020/B/517398,Domestic Refrigerators,3,"Madhya Pradesh
Department Of Higher Education Madhya Pradesh
Mlb College Bhopal Government Colleges Of Madhya Pradesh",25-01-2020 01:24 PM,10-02-2020 02:00 PM
26,GEM/2020/RA/32825,Refrigerated Micro-centrifuge,1,"Ministry Of Agriculture And Farmers Welfare
Department Of Agricultural Research And Education (dare)
Cmfri Indian Council Of Agricultural Research (icar)",07-02-2020 04:25 PM,10-02-2020 02:00 PM
27,GEM/2020/RA/33202,Laptop-Notebook,3,"Ministry Of Human Resource Development
Department Of Higher Education
Chandigarh National Institute Of Technical Teachers Training And Research (nitttrs)",30-01-2020 01:22 PM,10-02-2020 02:00 PM
28,GEM/2020/B/521492,Electronic Weighing Scales,1,"Pmo
Department Of Atomic Energy
Directorate Of Purchase And Stores N/a",29-01-2020 09:37 AM,10-02-2020 02:00 PM
29,GEM/2020/B/525177,TREADMILLS,3,"Ministry Of Defence
Department Of Defence
Air Force Station Jamnagar Gujarat Indian Air Force",30-01-2020 01:20 PM,10-02-2020 02:00 PM
30,GEM/2020/B/523555,Desktop Computers,1,"Uttar Pradesh
Medical Health And Family Welfare Department Uttar Pradesh
Divisional Hospital Mirzapur N/a",31-01-2020 09:38 AM,10-02-2020 02:00 PM
31,GEM/2020/B/519424,Workstation,1,"Ministry Of Environment Forest And Climate Change
Na
Almora Govind Ballabh Pant (g.b. Pant) Institute Of Himalayan Environment And Development (gbpihed)",27-01-2020 10:01 AM,10-02-2020 02:00 PM
32,GEM/2020/B/524948,Laser Speed Meter,3,"Gujarat
Ports And Transport Department Gujarat
Gandhinagar 382010 Commissionerate Of Transport",30-01-2020 01:08 PM,10-02-2020 02:00 PM
33,GEM/2020/B/525169,"Package No. 1 - ATAL TINKERING LAB OF NITI AAYOG ELECTRONICS DEVELOPMENT, ROBOTICS, INTERNET OF THI",1,"Niti Aayog - National Institution For Transforming India
Atal Innovation Mission
India Atal Tinkering Lab",30-01-2020 01:12 PM,10-02-2020 02:00 PM
34,GEM/2020/B/525171,Hot And Cold Air Conditioners,4,"Uttarakhand
Public Works Department Uttarakhand
Dehradun N/a",30-01-2020 01:14 PM,10-02-2020 02:00 PM
35,GEM/2020/B/517398,Domestic Refrigerators,3,"Madhya Pradesh
Department Of Higher Education Madhya Pradesh
Mlb College Bhopal Government Colleges Of Madhya Pradesh",25-01-2020 01:24 PM,10-02-2020 02:00 PM
36,GEM/2020/RA/32825,Refrigerated Micro-centrifuge,1,"Ministry Of Agriculture And Farmers Welfare
Department Of Agricultural Research And Education (dare)
Cmfri Indian Council Of Agricultural Research (icar)",07-02-2020 04:25 PM,10-02-2020 02:00 PM
37,GEM/2020/RA/33202,Laptop-Notebook,3,"Ministry Of Human Resource Development
Department Of Higher Education
Chandigarh National Institute Of Technical Teachers Training And Research (nitttrs)",30-01-2020 01:22 PM,10-02-2020 02:00 PM
38,GEM/2020/B/521492,Electronic Weighing Scales,1,"Pmo
Department Of Atomic Energy
Directorate Of Purchase And Stores N/a",29-01-2020 09:37 AM,10-02-2020 02:00 PM
39,GEM/2020/B/525177,TREADMILLS,3,"Ministry Of Defence
Department Of Defence
Air Force Station Jamnagar Gujarat Indian Air Force",30-01-2020 01:20 PM,10-02-2020 02:00 PM
40,GEM/2020/B/523555,Desktop Computers,1,"Uttar Pradesh
Medical Health And Family Welfare Department Uttar Pradesh
Divisional Hospital Mirzapur N/a",31-01-2020 09:38 AM,10-02-2020 02:00 PM
41,GEM/2020/B/519424,Workstation,1,"Ministry Of Environment Forest And Climate Change
Na
Almora Govind Ballabh Pant (g.b. Pant) Institute Of Himalayan Environment And Development (gbpihed)",27-01-2020 10:01 AM,10-02-2020 02:00 PM
42,GEM/2020/B/524948,Laser Speed Meter,3,"Gujarat
Ports And Transport Department Gujarat
Gandhinagar 382010 Commissionerate Of Transport",30-01-2020 01:08 PM,10-02-2020 02:00 PM
43,GEM/2020/B/525169,"Package No. 1 - ATAL TINKERING LAB OF NITI AAYOG ELECTRONICS DEVELOPMENT, ROBOTICS, INTERNET OF THI",1,"Niti Aayog - National Institution For Transforming India
Atal Innovation Mission
India Atal Tinkering Lab",30-01-2020 01:12 PM,10-02-2020 02:00 PM
44,GEM/2020/B/525171,Hot And Cold Air Conditioners,4,"Uttarakhand
Public Works Department Uttarakhand
Dehradun N/a",30-01-2020 01:14 PM,10-02-2020 02:00 PM
45,GEM/2020/B/517398,Domestic Refrigerators,3,"Madhya Pradesh
Department Of Higher Education Madhya Pradesh
Mlb College Bhopal Government Colleges Of Madhya Pradesh",25-01-2020 01:24 PM,10-02-2020 02:00 PM
46,GEM/2020/RA/32825,Refrigerated Micro-centrifuge,1,"Ministry Of Agriculture And Farmers Welfare
Department Of Agricultural Research And Education (dare)
Cmfri Indian Council Of Agricultural Research (icar)",07-02-2020 04:25 PM,10-02-2020 02:00 PM
47,GEM/2020/RA/33202,Laptop-Notebook,3,"Ministry Of Human Resource Development
Department Of Higher Education
Chandigarh National Institute Of Technical Teachers Training And Research (nitttrs)",30-01-2020 01:22 PM,10-02-2020 02:00 PM
48,GEM/2020/B/521492,Electronic Weighing Scales,1,"Pmo
Department Of Atomic Energy
Directorate Of Purchase And Stores N/a",29-01-2020 09:37 AM,10-02-2020 02:00 PM
49,GEM/2020/B/525177,TREADMILLS,3,"Ministry Of Defence
Department Of Defence
Air Force Station Jamnagar Gujarat Indian Air Force",30-01-2020 01:20 PM,10-02-2020 02:00 PM
